trace_id,model,y_true,y_pred,y_score,attack_family,attack_scenario,length,label_binary,error_type
T_e043db34ce51,rf_tfidf,1,0,0.2725,Adduser,9.0,2620,1,false_negative
T_b087c3762d1d,rf_tfidf,1,0,0.2675,Adduser,9.0,146,1,false_negative
T_e17c3a88c17f,rf_tfidf,1,0,0.245,Adduser,9.0,99,1,false_negative
T_fd8aa528b9a6,rf_tfidf,1,0,0.1775,Adduser,9.0,437,1,false_negative
T_bae1279079f8,rf_tfidf,1,0,0.2175,Adduser,9.0,141,1,false_negative
T_51fea6ee9586,rf_tfidf,1,0,0.1775,Adduser,9.0,1073,1,false_negative
T_1687d169c5a0,rf_tfidf,1,0,0.335,Adduser,9.0,106,1,false_negative
T_95cc893b6116,rf_tfidf,1,0,0.1975,Adduser,9.0,116,1,false_negative
T_30b332e4ccf7,rf_tfidf,1,0,0.44,Adduser,9.0,75,1,false_negative
T_8f9ffcfbe187,rf_tfidf,1,0,0.3975,Adduser,9.0,81,1,false_negative
T_8e9f51bf3fb2,rf_tfidf,1,0,0.485,Hydra_SSH,9.0,190,1,false_negative
T_91afa6f99b6b,rf_tfidf,1,0,0.2625,Java_Meterpreter,9.0,105,1,false_negative
T_a04b09943a26,lstm_post_e128_h128_d0.1,1,0,0.0001935793989105,Adduser,9.0,826,1,false_negative
T_e043db34ce51,lstm_post_e128_h128_d0.1,1,0,0.0037439512088894,Adduser,9.0,2620,1,false_negative
T_e17c3a88c17f,lstm_post_e128_h128_d0.1,1,0,0.0023509156890213,Adduser,9.0,99,1,false_negative
T_fd8aa528b9a6,lstm_post_e128_h128_d0.1,1,0,6.940624734852463e-05,Adduser,9.0,437,1,false_negative
T_bae1279079f8,lstm_post_e128_h128_d0.1,1,0,7.834818825358525e-05,Adduser,9.0,141,1,false_negative
T_51fea6ee9586,lstm_post_e128_h128_d0.1,1,0,0.0001991263561649,Adduser,9.0,1073,1,false_negative
T_1687d169c5a0,lstm_post_e128_h128_d0.1,1,0,2.890272662625648e-05,Adduser,9.0,106,1,false_negative
T_95cc893b6116,lstm_post_e128_h128_d0.1,1,0,0.0001295339607167,Adduser,9.0,116,1,false_negative
T_0e8e40caedad,lstm_post_e128_h128_d0.1,1,0,0.0002192036481574,Adduser,9.0,656,1,false_negative
T_30b332e4ccf7,lstm_post_e128_h128_d0.1,1,0,0.0012814489891752,Adduser,9.0,75,1,false_negative
T_8f9ffcfbe187,lstm_post_e128_h128_d0.1,1,0,0.0018760148668661,Adduser,9.0,81,1,false_negative
T_f3c8b5b7772f,lstm_post_e128_h128_d0.1,1,0,0.8519082069396973,Adduser,9.0,228,1,false_negative
T_7a6d5a2d2e9e,lstm_post_e128_h128_d0.1,1,0,0.0062260613776743,Hydra_FTP,10.0,161,1,false_negative
T_43eb4eed8673,lstm_post_e128_h128_d0.1,1,0,0.780917227268219,Hydra_FTP,9.0,114,1,false_negative
T_2c29a1158ffb,lstm_post_e128_h128_d0.1,1,0,0.6508263349533081,Hydra_SSH,9.0,100,1,false_negative
T_86967af9ac7c,lstm_post_e128_h128_d0.1,1,0,0.840435802936554,Java_Meterpreter,9.0,978,1,false_negative
T_44bb165f22a3,lstm_post_e128_h128_d0.1,1,0,0.9119998812675476,Meterpreter,10.0,90,1,false_negative
T_4e0e2688783e,lstm_post_e128_h128_d0.1,1,0,0.4438356757164001,Meterpreter,9.0,601,1,false_negative
T_84879548324c,lstm_post_e128_h128_d0.1,1,0,0.9413706064224244,Web_Shell,10.0,170,1,false_negative
T_db93bff195cf,lstm_post_e128_h128_d0.1,1,0,0.0001982942048925,Web_Shell,10.0,102,1,false_negative
T_225e5d80547c,lstm_post_e128_h128_d0.1,1,0,0.8464440703392029,Web_Shell,10.0,103,1,false_negative
T_96bb3a0cb424,lstm_post_e128_h128_d0.1,1,0,0.6574824452400208,Web_Shell,9.0,638,1,false_negative
T_7a71eabf648b,lstm_post_e128_h128_d0.1,1,0,0.8943720459938049,Web_Shell,9.0,110,1,false_negative
